기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_률,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20252,11215,광진구,CS300010,반찬가게,279.0,284.0,3.2,9.0,2.5,7.0,5.0
20252,11290,성북구,CS300006,미곡판매,60.0,60.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS300008,수산물판매,77.0,77.0,0.0,0.0,0.0,0.0,0.0
20252,11290,성북구,CS300009,청과상,162.0,163.0,0.0,0.0,3.7,6.0,1.0
20252,11290,성북구,CS300015,가방,80.0,81.0,1.2,1.0,0.0,0.0,1.0
20252,11215,광진구,CS300038,자동차부품,76.0,76.0,0.0,0.0,5.3,4.0,0.0
20252,11290,성북구,CS300016,안경,78.0,103.0,1.0,1.0,1.9,2.0,25.0
20252,11290,성북구,CS300020,서적,133.0,137.0,2.2,3.0,2.9,4.0,4.0
20252,11230,동대문구,CS200017,골프연습장,46.0,52.0,3.8,2.0,3.8,2.0,6.0
20252,11290,성북구,CS300023,미용재료,44.0,44.0,4.5,2.0,0.0,0.0,0.0
20252,11290,성북구,CS300035,인테리어,144.0,144.0,2.1,3.0,0.0,0.0,0.0
20252,11230,동대문구,CS200021,기타오락장,32.0,34.0,5.9,2.0,5.9,2.0,2.0
20252,11230,동대문구,CS200023,통신기기수리,10.0,10.0,10.0,1.0,0.0,0.0,0.0
20252,11290,성북구,CS300041,예술품,66.0,66.0,1.5,1.0,0.0,0.0,0.0
20252,11290,성북구,CS300042,주유소,48.0,48.0,0.0,0.0,0.0,0.0,0.0
20252,11305,강북구,CS100001,한식음식점,1629.0,1812.0,4.7,86.0,4.8,87.0,183.0
20252,11305,강북구,CS100004,양식음식점,90.0,107.0,5.6,6.0,4.7,5.0,17.0
20252,11230,동대문구,CS200029,네일숍,140.0,144.0,0.7,1.0,5.6,8.0,4.0
20252,11305,강북구,CS100007,치킨전문점,81.0,210.0,5.7,12.0,7.6,16.0,129.0
20252,11305,강북구,CS100009,호프-간이주점,496.0,554.0,2.3,13.0,5.6,31.0,58.0
20252,11230,동대문구,CS200037,노래방,184.0,188.0,2.1,4.0,3.7,7.0,4.0
20252,11305,강북구,CS200002,외국어학원,30.0,30.0,10.0,3.0,6.7,2.0,0.0
20252,11305,강북구,CS200021,기타오락장,31.0,35.0,5.7,2.0,8.6,3.0,4.0
