,기준_년분기_코드,자치구_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
38282,20213,강서구,의료기기,11471204592.0,28387.0,2061515029.0,2416271172.0,2364649872.0,2057310554.0,2185171297.0,386286668.0,0.0,0.0,625722641.0,5009101894.0,5354896439.0,481483618.0,0.0,8850701693.0,2469015766.0,0.0,73230857.0,1673916949.0,1833510635.0,3919933345.0,3819125674.0,5062.0,5041.0,5752.0,5053.0,5968.0,1511.0,0.0,0.0,3788.0,12106.0,9266.0,3227.0,0.0,13826.0,13938.0,0.0,271.0,2430.0,4328.0,7945.0,12792.0
38283,20213,강서구,일반교습학원,25649759591.0,84017.0,4255597909.0,4017539430.0,4110148717.0,4797836647.0,4111401063.0,2801672096.0,1555563729.0,62020183.0,864519701.0,3079195268.0,7895768010.0,11801078966.0,1947177463.0,11524422751.0,14101729034.0,42079081.0,150287636.0,1444039855.0,17458945940.0,6049452087.0,481347185.0,13697.0,13174.0,13386.0,15777.0,13831.0,9213.0,4939.0,206.0,2899.0,10443.0,27264.0,37628.0,5577.0,37062.0,46905.0,254.0,314.0,4861.0,58465.0,18353.0,1719.0
38284,20213,강서구,가전제품,13281643969.0,27170.0,1545029633.0,1112005746.0,2364998811.0,2127828414.0,2289032921.0,1746049222.0,2096699222.0,0.0,546510681.0,3168850280.0,4254138014.0,5312144994.0,0.0,6655559091.0,6584134853.0,9064021.0,1184343823.0,2823516168.0,2621178877.0,4357453347.0,2244137707.0,3966.0,2754.0,4172.0,3658.0,3317.0,5379.0,3924.0,0.0,1405.0,7148.0,8493.0,10124.0,0.0,13758.0,13131.0,16.0,3530.0,4812.0,4784.0,7383.0,6365.0
38285,20213,강서구,인테리어,1729989859.0,59702.0,268903729.0,200719205.0,246849838.0,218293152.0,367520765.0,314406623.0,113296547.0,0.0,527025958.0,485395433.0,501331553.0,205961691.0,10275224.0,797456999.0,701090062.0,662597.0,71562302.0,122776269.0,401700513.0,386223822.0,515621554.0,8133.0,8068.0,8386.0,9135.0,10201.0,10027.0,5752.0,0.0,11579.0,16546.0,16572.0,14104.0,901.0,29583.0,23883.0,102.0,3203.0,7172.0,12544.0,12944.0,17504.0
38286,20213,강서구,노래방,2648251410.0,50354.0,312201800.0,342714475.0,377107869.0,367729705.0,441550950.0,454583764.0,352362847.0,166120741.0,46910560.0,78155809.0,142938369.0,1121954250.0,1092171681.0,2146827299.0,302652361.0,11575847.0,160347852.0,370470034.0,613793578.0,857855641.0,435436713.0,6397.0,5938.0,6444.0,7075.0,7873.0,8832.0,7795.0,1002.0,223.0,1788.0,5777.0,27521.0,14043.0,35878.0,13524.0,3361.0,16593.0,10439.0,6685.0,8233.0,4103.0
38287,20213,강서구,완구,3846207416.0,35196.0,442809447.0,574335653.0,759870171.0,615541801.0,552534985.0,684715941.0,216399418.0,0.0,392963329.0,924721253.0,1222049776.0,984805269.0,321667789.0,3291230047.0,288827376.0,2909648.0,325868546.0,1071187539.0,1002344682.0,852037173.0,325709836.0,4290.0,4282.0,5644.0,6097.0,6467.0,6311.0,2105.0,0.0,2793.0,8733.0,10319.0,10691.0,2660.0,31171.0,3610.0,58.0,3068.0,9997.0,10390.0,6237.0,5031.0
38288,20213,구로구,슈퍼마켓,79814269574.0,6907166.0,11144872415.0,10974664806.0,10642717588.0,11844004562.0,13285059471.0,12215549715.0,9707401017.0,1168896430.0,9162750967.0,15753807246.0,17845806264.0,28336853452.0,7546155215.0,42572192863.0,34908646016.0,286685293.0,7105363449.0,14944813800.0,17859033233.0,19851504449.0,17433438663.0,1022191.0,962376.0,979684.0,1092085.0,1071239.0,962903.0,816688.0,135963.0,971830.0,1219767.0,1327647.0,2435468.0,816491.0,3907392.0,2919960.0,75777.0,1046951.0,1495268.0,1497451.0,1517661.0,1194255.0
38289,20213,구로구,패스트푸드점,5577272683.0,682033.0,703353949.0,730820731.0,763012607.0,862208016.0,898753266.0,849579954.0,769544160.0,70706550.0,340503839.0,1510390452.0,926923580.0,2124286729.0,604461533.0,3065737737.0,2095865399.0,74297197.0,1376441854.0,1502903075.0,1155507492.0,746820364.0,305633157.0,88445.0,88209.0,93915.0,105999.0,108791.0,105549.0,91125.0,18760.0,52540.0,159130.0,102516.0,250209.0,98878.0,413816.0,248807.0,10243.0,203382.0,231370.0,123338.0,65946.0,28364.0
38290,20213,구로구,스포츠클럽,2744405954.0,10543.0,672953284.0,434169046.0,371839214.0,527677749.0,484381964.0,182533640.0,70851057.0,10757383.0,268567391.0,572172673.0,391415212.0,1293228190.0,208265105.0,1311988973.0,1241444730.0,23936545.0,809973985.0,708782138.0,419918108.0,362208806.0,228614125.0,2315.0,1641.0,1367.0,1869.0,1497.0,985.0,869.0,15.0,1194.0,2222.0,2212.0,4389.0,511.0,5883.0,4449.0,60.0,3568.0,2808.0,1623.0,1495.0,782.0
38291,20213,구로구,시계및귀금속,1527118102.0,8920.0,125667876.0,108426901.0,197274515.0,451032551.0,272017332.0,298468042.0,74230885.0,0.0,45829618.0,358393767.0,699566243.0,422040870.0,1287604.0,763899498.0,744016900.0,0.0,154487810.0,199154528.0,226047316.0,351830974.0,576395769.0,1184.0,969.0,1219.0,1637.0,1637.0,1589.0,685.0,0.0,208.0,2723.0,3345.0,2596.0,48.0,4234.0,4586.0,0.0,938.0,2165.0,1350.0,2255.0,2109.0
